Date,price,open,high,low,change_pct
7/30/2021,42203.4,40001.1,42264.4,38358.4,0.055
7/29/2021,40001.4,40009,40630.7,39340.8,0
7/28/2021,40003.2,39450.4,40862.2,38883.8,0.014
7/27/2021,39452,37294.3,39455.9,36427.4,0.0584
7/26/2021,37276.6,35392.3,40522.9,35236.7,0.0533
7/25/2021,35391.1,34392.5,35391.1,33881.3,0.0463
7/24/2021,33824.8,33600.5,33955,33412.9,0.0066
7/23/2021,33603.3,32297.9,33605.6,32041.1,0.0404
7/22/2021,32298.9,32131.7,32585.4,31729.4,0.0052
7/21/2021,32131.4,29794.7,32794.6,29519.3,0.0785
7/20/2021,29793.8,30835.4,31040.8,29310.2,-0.0338
7/19/2021,30837.2,31782.9,31887,30478.2,-0.0298
7/18/2021,31785.4,31517.9,32408.2,31220.6,0.0085
7/17/2021,31518.6,31384.4,31914.8,31207.8,0.004
7/16/2021,31394,31842.3,32239.8,31062.2,-0.014
7/15/2021,31840.5,32820.5,33157,31175.8,-0.0299
7/14/2021,32820.7,32727.8,33051.9,31611.2,0.0028
7/13/2021,32728.1,33106.1,33307.7,32259.5,-0.0116
7/12/2021,33113,34228.3,34598,32662.8,-0.0326
7/11/2021,34227.7,33510.8,34580.6,33319.8,0.0214
7/10/2021,33510.6,33797.7,34221,33056.8,-0.0085
7/9/2021,33797.4,32866.3,34079.2,32367,0.0283
7/8/2021,32866.3,33859.4,33923.2,32146.9,-0.0296
7/7/2021,33867.8,34228.7,35036.6,33801.3,-0.0105
7/6/2021,34225.6,33688.5,35062,33581.7,0.016
7/5/2021,33687.8,35297,35300.5,33164.1,-0.0456
7/4/2021,35298.2,34742.8,35957.6,34740.1,0.016
7/3/2021,34742.8,33814.2,34909.8,33363.3,0.0275
7/2/2021,33813.4,33542.2,33925.9,32734.6,0.008
7/1/2021,33543.6,35030.7,35032.7,32839.2,-0.0423
6/30/2021,35026.9,35832.6,36089.5,34126.6,-0.0225
6/29/2021,35834.7,34477.3,36590.3,34247.6,0.0394
6/28/2021,34475.9,34682.2,35231.2,33944.9,-0.0058
6/27/2021,34678.5,32247.1,34685.5,32041.7,0.0755
6/26/2021,32243.4,31592.1,32643,30206.9,0.0206
6/25/2021,31594,34660.5,35490.9,31337.9,-0.0886
6/24/2021,34665.8,33678.1,35249.9,32356.7,0.0294
6/23/2021,33674.3,32498.3,34784.3,31736.5,0.0362
6/22/2021,32496.4,31682.7,33272.5,28901.8,0.0254
6/21/2021,31692,35597.9,35708.4,31284.1,-0.1097
6/20/2021,35595.8,35510.9,36097.9,33378,0.0023
6/19/2021,35513.4,35770,36357.3,34845.5,-0.0066
6/18/2021,35749.4,38045.5,38166,35198.5,-0.0605
6/17/2021,38052,38337.8,39529.9,37425.3,-0.0074
6/16/2021,38336,40148.1,40494.4,38156.4,-0.0453
6/15/2021,40156.1,40522.5,41318,39589.9,-0.0092
6/14/2021,40529.4,39024.1,40970.4,38769.9,0.0386
6/13/2021,39022.9,35467.5,39321.6,34827,0.1002
6/12/2021,35467.5,37334.4,37437.3,34703.3,-0.0495
6/11/2021,37314.6,36654.3,37641.1,36003.3,0.0181
6/10/2021,36649.4,37375.2,38340.8,35824,-0.0183
6/9/2021,37332.2,33385.5,37517.6,32428.6,0.1183
6/8/2021,33382.9,33574.6,34047.8,31158.1,-0.0058
6/7/2021,33578,35815.4,36754.6,33410.1,-0.0625
6/6/2021,35815.4,35518.7,36434,35265.3,0.0083
6/5/2021,35520,36841.2,37887.6,34832,-0.0361
6/4/2021,36851.3,39191.4,39255.4,35659.9,-0.0596
6/3/2021,39187.3,37555.7,39462.3,37193.6,0.0434
6/2/2021,37555.8,36687.7,38199.9,35981.1,0.0237
6/1/2021,36687.6,37294.3,37850.3,35742.7,-0.0164
5/31/2021,37298.6,35644,37480.7,34213.2,0.0462
5/30/2021,35652.8,34589.3,36388.6,33441,0.0309
5/29/2021,34584.6,35664.5,37227.1,33664.2,-0.0302
5/28/2021,35662.5,38543.2,38844.1,34772.4,-0.0717
5/27/2021,38417.3,39249,40322.2,37190.8,-0.0212
5/26/2021,39249.2,38375.7,40750,37847,0.0227
5/25/2021,38378.3,38753.6,39740.8,36540.7,-0.0096
5/24/2021,38750.6,34720.3,39851.7,34474.6,0.1174
5/23/2021,34679.7,37446.8,38248.7,31192.4,-0.0739
5/22/2021,37448.3,37291,38776,35314.9,0.004
5/21/2021,37297.4,40611.2,42108.3,33592.3,-0.084
5/20/2021,40717.2,36706.8,42425.9,35010.4,0.1088
5/19/2021,36720.5,42898.3,43516.6,30261.7,-0.144
5/18/2021,42897.3,43538.5,45770.9,42293.9,-0.0148
5/17/2021,43541.3,46424.2,46545.4,42201.5,-0.0621
5/16/2021,46426.4,46729.3,49764.3,43920.8,-0.006
5/15/2021,46708.8,49839.1,50640.9,46650.2,-0.0628
5/14/2021,49839.8,49704.9,51459.2,48874,0.0027
5/13/2021,49704.6,49398.2,51337.3,46331.1,0.0065
5/12/2021,49384.2,56694.5,57938.5,49187,-0.129
5/11/2021,56695.7,55846.1,56871.1,54550.4,0.0152
5/10/2021,55848.9,58251.2,59523.9,53678.3,-0.041
5/9/2021,58238.3,58840.6,59227,56414.4,-0.0102
5/8/2021,58840.1,57330.3,59471.1,56972.2,0.0262
5/7/2021,57337.2,56411.4,58639.3,55300.1,0.0165
5/6/2021,56405.4,57441,58364.9,55294.5,-0.018
5/5/2021,57441.3,53872.5,57936.4,53872.5,0.0688
5/4/2021,53741.5,57170.6,57201.3,53741.5,-0.06
5/3/2021,57169.8,56605.8,58925.1,56562.4,0.01
5/2/2021,56603.8,57807.2,57868.4,56110.5,-0.0208
5/1/2021,57807.1,57719.1,58449.4,57029.5,0.0015
4/30/2021,57720.3,53562.3,57925.6,53088.7,0.0777
4/29/2021,53560.8,54838.6,55173.7,52400,-0.0234
4/28/2021,54841.4,55036,56419.9,53876.4,-0.0035
4/27/2021,55036.5,54011.1,55427.8,53345,0.0188
4/26/2021,54020.5,48963.5,54320.9,48815.9,0.1033
4/25/2021,48963.6,50088.2,50532.4,47098.5,-0.0225
4/24/2021,50088.9,51140.8,51183,48775.2,-0.0206
4/23/2021,51143.6,51707.1,52099.9,47659.4,-0.0113
4/22/2021,51729.5,53821.3,55408.4,50590.9,-0.0388
4/21/2021,53820.2,56479.5,56764.4,53657.6,-0.0471
4/20/2021,56483.2,55645.1,57054.9,53422.5,0.015
4/19/2021,55646.1,56208.1,57517,54272.3,-0.01
